year,chaumasa_start,chaumasa_end
1891,1891-07-17,1891-11-12
1892,1892-07-05,1892-10-31
1893,1893-07-24,1893-11-19
1894,1894-07-13,1894-11-09
1895,1895-07-02,1895-10-29
1896,1896-07-20,1896-11-15
1897,1897-07-10,1897-11-04
1898,1898-06-30,1898-11-23
1899,1899-07-19,1899-11-13
1900,1900-07-08,1900-11-03
1901,1901-06-27,1901-11-22
1902,1902-07-16,1902-11-11
1903,1903-07-05,1903-10-31
1904,1904-07-23,1904-11-18
1905,1905-07-12,1905-11-07
1906,1906-07-02,1906-10-27
1907,1907-07-21,1907-11-15
1908,1908-07-10,1908-11-04
1909,1909-06-29,1909-11-23
1910,1910-07-18,1910-11-13
1911,1911-07-07,1911-11-02
1912,1912-07-24,1912-11-20
1913,1913-07-14,1913-11-09
1914,1914-07-03,1914-10-29
1915,1915-07-22,1915-11-17
1916,1916-07-11,1916-11-05
1917,1917-07-01,1917-11-24
1918,1918-07-19,1918-11-14
1919,1919-07-08,1919-11-04
1920,1920-06-26,1920-11-22
1921,1921-07-15,1921-11-11
1922,1922-07-05,1922-10-31
1923,1923-07-24,1923-11-18
1924,1924-07-12,1924-11-07
1925,1925-07-02,1925-10-27
1926,1926-07-21,1926-11-15
1927,1927-07-10,1927-11-05
1928,1928-06-28,1928-11-23
1929,1929-07-17,1929-11-12
1930,1930-07-06,1930-11-02
1931,1931-07-25,1931-11-20
1932,1932-07-14,1932-11-08
1933,1933-07-03,1933-10-29
1934,1934-07-22,1934-11-17
1935,1935-07-12,1935-11-06
1936,1936-06-30,1936-11-24
1937,1937-07-19,1937-11-14
1938,1938-07-08,1938-11-03
1939,1939-06-27,1939-11-22
1940,1940-07-15,1940-11-10
1941,1941-07-05,1941-10-30
1942,1942-07-24,1942-11-18
1943,1943-07-13,1943-11-08
1944,1944-07-02,1944-10-27
1945,1945-07-20,1945-11-15
1946,1946-07-09,1946-11-05
1947,1947-06-28,1947-11-24
1948,1948-07-16,1948-11-12
1949,1949-07-06,1949-11-01
1950,1950-07-25,1950-11-19
1951,1951-07-15,1951-11-09
1952,1952-07-03,1952-10-29
1953,1953-07-22,1953-11-17
1954,1954-07-11,1954-11-06
1955,1955-06-30,1955-11-25
1956,1956-07-18,1956-11-14
1957,1957-07-07,1957-11-03
1958,1958-06-27,1958-11-21
1959,1959-07-16,1959-11-10
1960,1960-07-05,1960-10-30
1961,1961-07-24,1961-11-18
1962,1962-07-13,1962-11-08
1963,1963-07-02,1963-11-27
1964,1964-07-20,1964-11-15
1965,1965-07-09,1965-11-04
1966,1966-06-28,1966-11-23
1967,1967-07-17,1967-11-12
1968,1968-07-06,1968-10-31
1969,1969-07-25,1969-11-19
1970,1970-07-15,1970-11-09
1971,1971-07-04,1971-10-30
1972,1972-07-22,1972-11-17
1973,1973-07-10,1973-11-06
1974,1974-06-30,1974-11-25
1975,1975-07-19,1975-11-14
1976,1976-07-07,1976-11-02
1977,1977-06-27,1977-11-21
1978,1978-07-16,1978-11-10
1979,1979-07-06,1979-10-31
1980,1980-07-23,1980-11-18
1981,1981-07-12,1981-11-08
1982,1982-07-01,1982-11-27
1983,1983-07-20,1983-11-16
1984,1984-07-09,1984-11-04
1985,1985-06-28,1985-11-22
1986,1986-07-17,1986-11-12
1987,1987-07-07,1987-11-01
1988,1988-07-25,1988-11-19
1989,1989-07-14,1989-11-09
1990,1990-07-03,1990-10-30
1991,1991-07-22,1991-11-17
1992,1992-07-10,1992-11-05
1993,1993-06-29,1993-11-24
1994,1994-07-18,1994-11-13
1995,1995-07-08,1995-11-02
1996,1996-07-26,1996-11-20
1997,1997-07-16,1997-11-10
1998,1998-07-05,1998-10-31
1999,1999-07-23,1999-11-19
2000,2000-07-11,2000-11-07
2001,2001-07-01,2001-11-26
2002,2002-07-20,2002-11-15
2003,2003-07-09,2003-11-04
2004,2004-06-28,2004-11-22
2005,2005-07-17,2005-11-11
2006,2006-07-07,2006-11-01
2007,2007-07-25,2007-11-20
2008,2008-07-13,2008-11-09
2009,2009-07-02,2009-10-29
2010,2010-07-21,2010-11-17
2011,2011-07-11,2011-11-06
2012,2012-06-29,2012-11-23
2013,2013-07-19,2013-11-13
2014,2014-07-08,2014-11-02
2015,2015-07-27,2015-11-22
2016,2016-07-15,2016-11-10
2017,2017-07-04,2017-10-31
2018,2018-07-23,2018-11-19
2019,2019-07-12,2019-11-08
2020,2020-07-01,2020-11-25
2021,2021-07-20,2021-11-14
2022,2022-07-10,2022-11-04
2023,2023-06-29,2023-11-23
2024,2024-07-17,2024-11-12
